iter	Passed	Remaining
404	8151	11975
405	8172	11956
406	8191	11935
407	8210	11912
408	8231	11895
409	8251	11873
410	8269	11851
411	8290	11831
412	8311	11812
413	8333	11795
414	8354	11776
415	8374	11756
416	8393	11734
417	8412	11713
418	8436	11697
419	8456	11677
420	8474	11655
421	8493	11633
422	8513	11612
423	8532	11591
424	8551	11570
425	8569	11546
426	8589	11526
427	8610	11506
428	8631	11489
429	8651	11467
430	8671	11447
431	8690	11426
432	8710	11406
433	8731	11386
434	8751	11366
435	8769	11343
436	8790	11325
437	8813	11309
438	8836	11292
439	8861	11277
440	8897	11277
441	8921	11263
442	8946	11248
443	8968	11231
444	8997	11221
445	9021	11206
446	9044	11189
447	9068	11173
448	9089	11153
449	9121	11147
450	9152	11140
451	9177	11126
452	9199	11108
453	9220	11089
454	9243	11071
455	9267	11055
456	9288	11036
457	9306	11013
458	9327	10993
459	9348	10974
460	9368	10953
461	9388	10932
462	9411	10915
463	9436	10900
464	9455	10878
465	9474	10857
466	9493	10834
467	9513	10814
468	9533	10794
469	9552	10772
470	9571	10750
471	9590	10728
472	9611	10708
473	9632	10689
474	9653	10669
475	9675	10650
476	9696	10631
477	9714	10609
478	9736	10590
479	9760	10574
480	9786	10559
481	9808	10541
482	9833	10525
483	9857	10509
484	9881	10492
485	9901	10471
486	9921	10451
487	9941	10430
488	9961	10409
489	9983	10390
490	10005	10371
491	10024	10350
492	10043	10329
493	10063	10308
494	10090	10294
495	10117	10280
496	10139	10261
497	10164	10246
498	10189	10230
499	10214	10214
500	10236	10196
501	10256	10174
502	10274	10152
503	10293	10130
504	10311	10107
505	10332	10087
506	10353	10067
507	10373	10047
508	10390	10023
509	10407	9999
510	10428	9979
511	10451	9961
512	10470	9940
513	10490	9918
514	10508	9896
515	10528	9875
516	10547	9853
517	10568	9834
518	10599	9823
519	10622	9805
520	10645	9787
521	10669	9770
522	10692	9752
523	10714	9732
524	10733	9711
525	10751	9688
526	10772	9668
527	10792	9647
528	10826	9639
529	10853	9624
530	10874	9604
531	10892	9581
532	10912	9561
533	10931	9539
534	10951	9518
535	10969	9496
536	10987	9473
537	11005	9451
538	11024	9428
539	11045	9409
540	11067	9389
541	11091	9372
542	11111	9351
543	11131	9330
544	11151	9309
545	11172	9290
546	11193	9270
547	11214	9249
548	11236	9231
549	11262	9214
550	11284	9195
551	11307	9177
552	11331	9159
553	11358	9143
554	11382	9126
555	11402	9105
556	11422	9084
557	11443	9064
558	11461	9042
559	11479	9019
560	11499	8998
561	11520	8978
562	11538	8955
563	11557	8934
564	11578	8914
565	11600	8895
566	11620	8874
567	11638	8852
568	11657	8830
569	11674	8807
570	11695	8786
571	11717	8767
572	11739	8748
573	11760	8728
574	11777	8705
575	11795	8682
576	11816	8663
577	11837	8642
578	11858	8622
579	11876	8600
580	11895	8578
581	11918	8560
582	11939	8540
583	11959	8519
584	11979	8498
585	11997	8476
586	12016	8454
587	12042	8437
